frame,name,x,y,w,h,confidence,ground_truth
300,dumbbell,69,194,51,20,1.0,1
300,jump rope,54,206,66,34,1.0,1
300,step,223,217,101,23,1.0,1
300,drawer,333,170,46,14,1.0,1
300,granola bar,330,160,20,8,1.0,1
300,notebook,350,154,32,14,1.0,1
300,pen,362,156,9,8,1.0,1
300,sport drink,325,138,13,26,1.0,1
300,water bottle,328,124,12,34,1.0,1
300,pill bottle,338,149,8,12,1.0,1
300,spray bottle,356,129,17,30,1.0,1
300,paper towel,344,124,18,35,1.0,1
302,dumbbell,72,189,43,26,0.9820632,0
302,jump rope,57,201,58,40,0.92733186,0
302,step,222,212,92,29,0.9146892,0
302,drawer,334,170,40,18,0.89790535,0
302,granola bar,329,160,17,10,0.8635357,0
302,notebook,354,154,28,17,0.79013366,0
302,pen,360,153,10,10,0.42662552,0
302,sport drink,321,135,14,24,0.7401426,0
302,water bottle,323,125,14,30,0.94608754,0
302,pill bottle,335,148,10,11,0.6805148,0
302,spray bottle,354,126,18,28,0.819332,0
302,paper towel,345,117,20,32,0.8451725,0
304,dumbbell,75,186,38,31,0.97827494,0
304,jump rope,60,198,53,45,0.91933787,0
304,step,235,206,80,41,0.97277695,0
304,drawer,334,163,35,23,0.95705205,0
304,granola bar,332,157,16,11,0.75709116,0
304,notebook,359,156,26,19,0.85333115,0
304,pen,361,152,10,10,0.47479475,0
304,sport drink,323,133,15,22,0.93719465,0
304,water bottle,322,126,17,27,0.9812697,0
304,pill bottle,337,148,10,11,0.9572435,0
304,spray bottle,353,126,20,27,0.85411406,0
304,paper towel,344,118,21,31,0.87953234,0
306,dumbbell,76,184,35,34,0.9752239,0
306,jump rope,62,195,50,48,0.89734614,0
306,step,239,200,71,49,0.9342097,0
306,drawer,335,158,32,26,0.9461398,0
306,granola bar,334,157,15,12,0.85918814,0
306,notebook,360,155,24,20,0.8404995,0
306,pen,363,151,10,10,0.7531367,0
306,sport drink,324,136,16,22,0.8378717,0
306,water bottle,325,129,18,26,0.8240682,0
306,pill bottle,337,147,10,11,0.91950107,0
306,spray bottle,350,124,21,26,0.91487294,0
306,paper towel,343,116,23,30,0.9330877,0
308,dumbbell,78,182,33,36,0.97356105,0
308,jump rope,63,193,47,50,0.9114898,0
308,step,242,198,65,55,0.93565905,0
308,drawer,339,153,31,28,0.9403239,0
308,granola bar,335,155,14,13,0.85771763,0
308,notebook,364,151,23,21,0.8632695,0
308,pen,365,154,10,10,0.72850406,0
308,sport drink,324,139,17,21,0.8184044,0
308,water bottle,328,126,19,25,0.8041486,0
308,pill bottle,336,149,10,11,0.90517783,0
308,spray bottle,347,121,21,25,0.94573927,0
308,paper towel,347,116,23,29,0.92159283,0
310,dumbbell,78,181,32,38,0.96322787,0
310,jump rope,64,192,45,52,0.9232821,0
310,step,244,195,62,58,0.93487656,0
310,drawer,339,152,30,29,0.97512096,0
310,granola bar,337,153,14,13,0.9319986,0
310,notebook,359,148,23,22,0.87879926,0
310,pen,364,150,10,10,0.8365157,0
310,sport drink,324,139,17,21,0.9358751,0
310,water bottle,325,124,20,24,0.89641225,0
310,pill bottle,335,148,10,11,0.93443143,0
310,spray bottle,347,118,22,25,0.95961994,0
310,paper towel,346,116,24,28,0.9251297,0
312,dumbbell,78,180,31,39,0.9768364,0
312,jump rope,65,192,44,52,0.9143799,0
312,step,244,186,59,61,0.9075995,0
312,drawer,339,147,30,30,0.94340277,0
312,granola bar,341,155,13,14,0.93992376,0
312,notebook,360,148,22,23,0.91245854,0
312,pen,365,149,10,10,0.8235322,0
312,sport drink,324,139,17,20,0.91904056,0
312,water bottle,331,127,20,24,0.91343915,0
312,pill bottle,336,148,10,11,0.8964577,0
312,spray bottle,347,118,22,25,0.96168333,0
312,paper towel,346,120,24,28,0.9140229,0
314,dumbbell,79,179,30,39,0.97092855,0
314,jump rope,68,189,38,60,0.97534,0
314,step,245,191,57,63,0.9744848,0
314,drawer,339,147,29,30,0.9139634,0
314,granola bar,342,155,13,14,0.92900145,0
314,notebook,358,150,22,23,0.86813754,0
314,pen,364,148,10,10,0.7292878,0
314,sport drink,327,139,17,20,0.9332067,0
314,water bottle,333,130,20,24,0.9222881,0
314,pill bottle,336,147,10,11,0.87442964,0
314,spray bottle,347,118,22,25,0.94908625,0
314,paper towel,343,117,24,28,0.9482533,0
316,dumbbell,79,178,30,39,0.964368,0
316,jump rope,70,186,33,66,0.97693074,0
316,step,245,189,56,64,0.9325673,0
316,drawer,338,147,29,31,0.9620944,0
316,granola bar,340,153,13,14,0.9577927,0
316,notebook,361,147,22,23,0.8722711,0
316,pen,366,147,10,10,0.8926479,0
316,sport drink,330,139,17,19,0.9329671,0
316,water bottle,333,132,20,24,0.9437303,0
316,pill bottle,338,145,10,11,0.92304844,0
316,spray bottle,346,118,23,25,0.95616,0
316,paper towel,346,117,25,28,0.92673063,0
