frame,name,x,y,w,h,confidence,ground_truth
600,step,337,214,90,26,1.0,1
600,drawer,333,170,46,14,1.0,1
600,granola bar,334,157,18,10,1.0,1
600,notebook,352,154,30,14,1.0,1
600,pen,362,156,9,8,1.0,1
600,sport drink,329,136,13,25,1.0,1
600,water bottle,326,122,14,36,1.0,1
600,spray bottle,356,129,17,30,1.0,1
600,paper towel,344,124,18,35,1.0,1
600,pill bottle,341,148,10,12,1.0,1
600,dumbbell,66,192,51,21,1.0,1
602,step,340,202,78,35,0.92449206,0
602,drawer,332,163,40,18,0.8761489,0
602,granola bar,334,153,16,11,0.930909,0
602,notebook,350,149,27,16,0.9279476,0
602,pen,360,154,10,10,0.8642687,0
602,sport drink,326,133,13,24,0.56887954,0
602,water bottle,322,119,15,33,0.5667864,0
602,spray bottle,357,129,18,28,0.9022335,0
602,paper towel,342,125,20,32,0.9306609,0
602,pill bottle,342,149,10,11,0.8841715,0
602,dumbbell,69,187,44,27,0.98470414,0
604,step,336,192,69,43,0.92148256,0
604,drawer,327,161,36,21,0.8495395,0
604,granola bar,333,153,15,12,0.834266,0
604,notebook,351,148,25,18,0.88778335,0
604,pen,361,153,10,10,0.8944699,0
604,sport drink,328,126,14,23,0.506805,0
604,water bottle,324,116,17,31,0.5823576,0
604,spray bottle,357,130,20,27,0.8762924,0
604,paper towel,341,126,22,30,0.9400593,0
604,pill bottle,343,147,10,11,0.8809735,0
604,dumbbell,71,184,39,32,0.9761519,0
606,step,332,192,64,47,0.8214461,0
606,drawer,325,155,34,24,0.8258595,0
606,granola bar,335,151,15,12,0.89936936,0
606,notebook,349,145,24,19,0.91740376,0
606,pen,363,152,10,10,0.90696263,0
606,sport drink,331,126,14,22,0.3894439,0
606,water bottle,331,114,18,30,0.55567676,0
606,spray bottle,354,131,21,26,0.92823046,0
606,paper towel,345,128,23,28,0.9256102,0
606,pill bottle,340,149,10,11,0.89475584,0
606,dumbbell,73,183,36,35,0.9679933,0
608,step,340,191,62,51,0.8345804,0
608,drawer,327,151,32,25,0.84025383,0
608,granola bar,335,149,14,13,0.9317253,0
608,notebook,353,145,23,20,0.90892136,0
608,pen,366,152,10,10,0.92428,0
608,sport drink,336,121,15,22,0.681205,0
608,water bottle,331,112,19,29,0.6719303,0
608,spray bottle,351,131,21,25,0.90356225,0
608,paper towel,345,128,24,28,0.91160446,0
608,pill bottle,339,150,10,11,0.9055041,0
608,dumbbell,74,182,34,37,0.96973544,0
610,step,355,191,60,54,0.8819476,0
610,drawer,331,150,31,26,0.84314835,0
610,granola bar,340,147,14,13,0.90480876,0
610,notebook,350,146,22,20,0.89810616,0
610,pen,366,156,10,10,0.8874311,0
610,sport drink,334,121,15,21,0.30790296,0
610,water bottle,325,112,20,28,0.4730075,0
610,spray bottle,354,131,22,24,0.8083609,0
610,paper towel,352,132,24,27,0.86924165,0
610,pill bottle,342,150,10,11,0.8862953,0
610,dumbbell,76,181,32,38,0.97837055,0
612,step,340,193,57,57,0.88409144,0
612,drawer,339,154,30,27,0.82140785,0
612,granola bar,342,152,14,14,0.80915964,0
612,notebook,354,148,22,20,0.8879137,0
612,pen,368,156,10,10,0.8799857,0
612,sport drink,334,121,15,21,0.38910633,0
612,water bottle,332,116,21,27,0.5328377,0
612,spray bottle,351,128,22,24,0.8549919,0
612,paper towel,355,129,24,27,0.83997285,0
612,pill bottle,344,154,10,11,0.8333382,0
612,dumbbell,76,180,31,39,0.97334033,0
614,step,358,186,56,59,0.91986734,0
614,drawer,328,153,29,28,0.88935393,0
614,granola bar,340,150,13,14,0.8382379,0
614,notebook,351,148,22,21,0.7544885,0
614,pen,369,155,10,10,0.8491979,0
614,sport drink,335,121,15,22,0.45044127,0
614,water bottle,332,119,21,27,0.6169114,0
614,spray bottle,349,128,22,24,0.82175684,0
614,paper towel,356,126,25,27,0.8782063,0
614,pill bottle,343,158,10,11,0.9286961,0
614,dumbbell,76,180,31,39,0.9723345,0
616,step,352,187,55,61,0.88259035,0
616,drawer,329,157,29,28,0.82643676,0
616,granola bar,342,148,13,14,0.87915874,0
616,notebook,352,148,22,21,0.9160376,0
616,pen,368,156,10,10,0.90795994,0
616,sport drink,335,128,15,21,0.5165756,0
616,water bottle,336,129,21,26,0.7062006,0
616,spray bottle,349,125,22,24,0.7971324,0
616,paper towel,349,127,25,27,0.8245191,0
616,pill bottle,340,158,10,10,0.8059963,0
616,dumbbell,76,180,30,40,0.9807732,0
618,step,351,181,55,61,0.867472,0
618,drawer,326,152,29,28,0.8546515,0
618,granola bar,344,146,13,13,0.8536124,0
618,notebook,349,148,22,21,0.89139944,0
618,pen,369,158,10,10,0.9172483,0
618,sport drink,335,126,16,21,0.67114055,0
618,water bottle,336,126,22,26,0.7155002,0
618,spray bottle,346,122,22,24,0.81540596,0
618,paper towel,353,130,25,27,0.891934,0
618,pill bottle,342,160,10,10,0.89704424,0
618,dumbbell,76,180,30,40,0.97171175,0
620,step,351,197,55,61,0.831433,0
620,drawer,327,152,28,28,0.902222,0
620,granola bar,346,146,13,13,0.93383294,0
620,notebook,349,149,21,21,0.9159143,0
620,pen,369,158,10,10,0.8968105,0
620,sport drink,340,133,16,20,0.72671044,0
