run,evnum,evname,startsec,endsec
1.1.1,1,prepare_tea,6.1835,174.5665
1.1.1,2,prepare_milk,175.3415,206.0285
1.1.1,3,look_at_text_message,206.4525,239.739
1.1.1,4,prepare_a_bagel,240.601,552.37
1.1.1,5,prepare_cereal,552.3735,627.033
1.1.1,6,prepare_toast,628.3575000000001,808.0295000000001
1.1.1,7,prepare_yogurt_with_granola,808.375,890.7370000000001
1.1.2,1,prepare_hot_oatmeal,4.784,127.353
1.1.2,2,prepare_a_bagel,129.4815,380.8885
1.1.2,3,prepare_yogurt_with_granola,381.7635,499.01300000000003
1.1.2,4,prepare_fresh_fruit,496.22,581.727
1.1.2,5,take_objects_out_of_drawers,582.8705,619.0225
1.1.2,6,prepare_milk,619.78,649.229
1.1.2,7,prepare_tea,652.7909999999999,737.1145
1.1.3,1,put_objects_in_drawers,6.356999999999999,19.1505
1.1.3,2,prepare_milk,20.6295,63.3525
1.1.3,3,prepare_orange_juice,63.852999999999994,101.9075
1.1.3,4,prepare_fresh_fruit,102.503,223.761
1.1.3,5,prepare_toast,225.4665,400.4905
1.1.3,6,prepare_cereal,401.2745,478.46500000000003
1.1.3,7,prepare_a_bagel,480.09400000000005,746.3140000000001
1.1.4,1,prepare_fresh_fruit,3.628,91.66300000000001
1.1.4,2,prepare_toast,93.0535,222.385
1.1.4,3,prepare_instant_coffee,223.6135,319.041
1.1.4,4,prepare_orange_juice,321.72950000000003,353.7195
1.1.4,5,prepare_cereal,353.7315,420.33500000000004
1.1.4,6,prepare_a_bagel,423.1155,654.8785
1.1.4,7,clean_a_surface,667.9035,715.935
1.1.5,1,prepare_fresh_fruit,5.868,99.4015
1.1.5,2,prepare_toast,101.0085,292.42150000000004
1.1.5,3,prepare_cereal,294.429,351.572
1.1.5,4,prepare_a_bagel,353.0625,606.3720000000001
1.1.5,5,prepare_milk,606.3725,629.2035
1.1.5,6,prepare_orange_juice,629.5889999999999,659.7305
1.1.5,7,torso_rotations,682.1995,703.225
1.1.6,1,prepare_a_bagel,5.8325,373.2315
1.1.6,2,prepare_hot_oatmeal,373.6435,487.4465
1.1.6,3,prepare_milk,488.5585,517.094
1.1.6,4,prepare_tea,520.306,591.3544999999999
1.1.6,5,look_at_text_message,591.95,650.3254999999999
1.1.6,6,prepare_toast,651.649,862.403
1.1.6,7,prepare_fresh_fruit,863.3985,964.6034999999999
