run,width,height,fps,total_frames,total_seconds
6.2.4_kinect_trim,960.0,540.0,25.0,13662.0,546.48
6.3.8_kinect_trim,960.0,540.0,25.0,15485.0,619.4
2.2.6_kinect_trim,960.0,540.0,25.0,13041.0,521.64
2.4.9_kinect_trim,960.0,540.0,25.0,14168.0,566.72
1.2.4_kinect_trim,960.0,540.0,25.0,14540.0,581.6
1.3.8_kinect_trim,960.0,540.0,25.0,13950.0,558.0
4.3.10_kinect_trim,960.0,540.0,25.0,11408.0,456.32
1.2.10_kinect_trim,960.0,540.0,25.0,17192.0,687.68
3.1.5_kinect_trim,960.0,540.0,25.0,16409.0,656.36
6.3.6_kinect_trim,960.0,540.0,25.0,19355.0,774.2
3.4.3_kinect_trim,960.0,540.0,25.0,12304.0,492.16
6.1.3_kinect_trim,960.0,540.0,25.0,19141.0,765.64
2.4.7_kinect_trim,960.0,540.0,25.0,10519.0,420.76
2.2.8_kinect_trim,960.0,540.0,25.0,14106.0,564.24
4.1.5_kinect_trim,960.0,540.0,25.0,12856.0,514.24
1.1.3_kinect_trim,960.0,540.0,25.0,19910.0,796.4
2.4.10_kinect_trim,960.0,540.0,25.0,11726.0,469.04
4.4.3_kinect_trim,960.0,540.0,25.0,18807.0,752.28
1.3.6_kinect_trim,960.0,540.0,25.0,18328.0,733.12
2.3.4_kinect_trim,960.0,540.0,25.0,14543.0,581.72
1.3.9_kinect_trim,960.0,540.0,29.97002997002997,22018.0,734.6672666666667
4.4.10_kinect_trim,960.0,540.0,25.0,17437.0,697.48
2.4.8_kinect_trim,960.0,540.0,25.0,12340.0,493.6
2.2.7_kinect_trim,960.0,540.0,25.0,14293.0,571.72
1.2.5_kinect_trim,960.0,540.0,25.0,12087.0,483.48
6.3.9_kinect_trim,960.0,540.0,25.0,16986.0,679.44
6.2.5_kinect_trim,960.0,540.0,29.97002997002997,12282.0,409.8094
1.3.7_kinect_trim,960.0,540.0,25.0,15113.0,604.52
1.1.2_kinect_trim,960.0,540.0,25.0,19340.0,773.6
4.4.2_kinect_trim,960.0,540.0,25.0,13473.0,538.92
2.3.10_kinect_trim,960.0,540.0,29.97002997002997,15500.0,517.1833333333334
2.3.5_kinect_trim,960.0,540.0,25.0,12237.0,489.48
2.2.9_kinect_trim,960.0,540.0,25.0,15859.0,634.36
2.4.6_kinect_trim,960.0,540.0,25.0,17254.0,690.16
4.1.4_kinect_trim,960.0,540.0,25.0,15719.0,628.76
4.3.1_kinect_trim,960.0,540.0,25.0,16745.0,669.8
3.4.2_kinect_trim,960.0,540.0,25.0,9277.0,371.08
6.1.2_kinect_trim,960.0,540.0,25.0,19059.0,762.36
6.3.7_kinect_trim,960.0,540.0,25.0,18820.0,752.8
3.3.1_kinect_trim,960.0,540.0,25.000555708813373,15771.0,630.8259777777778
3.1.4_kinect_trim,960.0,540.0,25.0,17255.0,690.2
3.1.10_kinect_trim,960.0,540.0,25.0,14656.0,586.24
1.2.8_kinect_trim,960.0,540.0,25.0,13646.0,545.84
4.3.2_kinect_trim,960.0,540.0,25.0,15463.0,618.52
4.1.7_kinect_trim,960.0,540.0,25.0,16621.0,664.84
2.4.5_kinect_trim,960.0,540.0,25.0,16154.0,646.16
2.3.6_kinect_trim,960.0,540.0,25.0,15767.0,630.68
4.4.1_kinect_trim,960.0,540.0,25.0,8385.0,335.4
1.1.1_kinect_trim,960.0,540.0,25.0,22861.0,914.44
1.3.4_kinect_trim,854.0,480.0,29.97002997002997,17430.0,581.581
3.1.7_kinect_trim,960.0,540.0,25.0,17001.0,680.04
3.3.2_kinect_trim,960.0,540.0,25.000476766012117,17654.0,706.1465333333333
6.2.8_kinect_trim,960.0,540.0,25.000811041773794,10455.0,418.1864333333333
6.3.4_kinect_trim,960.0,540.0,25.0,16239.0,649.56
6.1.1_kinect_trim,960.0,540.0,25.0,20998.0,839.92
3.4.1_kinect_trim,960.0,540.0,25.0,8675.0,347.0
4.1.10_kinect_trim,960.0,540.0,25.0,16635.0,665.4
4.1.9_kinect_trim,960.0,540.0,25.0,18131.0,725.24
3.4.10_kinect_trim,960.0,540.0,25.0,14910.0,596.4
1.2.6_kinect_trim,960.0,540.0,25.0,16895.0,675.8
2.2.4_kinect_trim,960.0,540.0,25.0,13184.0,527.36
