run,duration
1.1.10_kinect_trim,916.438
1.1.1_kinect_trim,914.5
1.1.2_kinect_trim,775.104
1.1.3_kinect_trim,796.438
1.1.4_kinect_trim,728.854
1.1.5_kinect_trim,713.6
1.1.6_kinect_trim,990.294
1.1.7_kinect_trim,750.467
1.1.8_kinect_trim,749.206
1.1.9_kinect_trim,747.264
1.2.10_kinect_trim,690.518
1.2.1_kinect_trim,440.214
1.2.2_kinect_trim,549.398
1.2.3_kinect_trim,586.112
1.2.4_kinect_trim,581.632
1.2.5_kinect_trim,483.52
1.2.6_kinect_trim,675.84
1.2.7_kinect_trim,493.8
1.2.8_kinect_trim,548.224
1.2.9_kinect_trim,684.054
1.3.10_kinect_trim,584.896
1.3.1_kinect_trim,544.406
1.3.2_kinect_trim,670.667
1.3.3_kinect_trim,574.635
1.3.4_kinect_trim,581.739
1.3.5_kinect_trim,712.47
1.3.6_kinect_trim,730.454
1.3.7_kinect_trim,604.566
1.3.8_kinect_trim,558.067
1.3.9_kinect_trim,732.736
2.2.10_kinect_trim,590.336
2.2.1_kinect_trim,575.296
2.2.2_kinect_trim,547.648
2.2.3_kinect_trim,547.542
2.2.4_kinect_trim,527.382
2.2.5_kinect_trim,560.79
2.2.6_kinect_trim,521.686
2.2.7_kinect_trim,571.734
2.2.8_kinect_trim,564.31
2.2.9_kinect_trim,634.4
2.3.10_kinect_trim,517.248
2.3.1_kinect_trim,553.686
2.3.2_kinect_trim,539.776
2.3.3_kinect_trim,685.206
2.3.4_kinect_trim,583.19
2.3.5_kinect_trim,490.902
2.3.6_kinect_trim,630.72
2.3.7_kinect_trim,623.83
2.3.8_kinect_trim,582.23
2.3.9_kinect_trim,399.446
2.4.10_kinect_trim,469.078
2.4.1_kinect_trim,645.824
2.4.2_kinect_trim,580.288
2.4.3_kinect_trim,645.824
2.4.4_kinect_trim,544.342
2.4.5_kinect_trim,648.448
2.4.6_kinect_trim,690.234
2.4.7_kinect_trim,420.8
2.4.8_kinect_trim,493.654
2.4.9_kinect_trim,566.784
3.1.10_kinect_trim,586.304
3.1.1_kinect_trim,550.358
3.1.2_kinect_trim,689.408
3.1.3_kinect_trim,585.984
3.1.4_kinect_trim,690.198
3.1.5_kinect_trim,656.406
3.1.6_kinect_trim,612.758
3.1.7_kinect_trim,680.086
3.1.8_kinect_trim,587.862
3.1.9_kinect_trim,638.272
3.3.10_kinect_trim,523.072
3.3.1_kinect_trim,627.008
3.3.2_kinect_trim,706.176
3.3.3_kinect_trim,558.592
3.3.4_kinect_trim,488.512
3.3.5_kinect_trim,851.2
3.3.6_kinect_trim,596.9
3.3.7_kinect_trim,752.0
3.3.8_kinect_trim,700.736
3.3.9_kinect_trim,600.384
3.4.10_kinect_trim,597.014
3.4.1_kinect_trim,347.286
3.4.2_kinect_trim,371.136
3.4.3_kinect_trim,493.312
3.4.4_kinect_trim,347.648
3.4.5_kinect_trim,438.294
3.4.6_kinect_trim,501.824
3.4.7_kinect_trim,454.784
3.4.8_kinect_trim,441.28
3.4.9_kinect_trim,585.92
4.1.10_kinect_trim,665.408
4.1.1_kinect_trim,1309.184
4.1.2_kinect_trim,916.758
4.1.3_kinect_trim,586.752
4.1.4_kinect_trim,628.8
4.1.5_kinect_trim,514.304
4.1.6_kinect_trim,812.224
4.1.7_kinect_trim,664.9
4.1.8_kinect_trim,636.95
4.1.9_kinect_trim,725.27
4.3.10_kinect_trim,456.384
4.3.1_kinect_trim,669.824
4.3.2_kinect_trim,618.6
4.3.3_kinect_trim,493.952
4.3.4_kinect_trim,602.24
4.3.5_kinect_trim,560.64
4.3.6_kinect_trim,617.6
4.3.7_kinect_trim,482.048
4.3.8_kinect_trim,509.398
4.3.9_kinect_trim,548.032
4.4.10_kinect_trim,697.536
4.4.1_kinect_trim,335.446
4.4.2_kinect_trim,538.816
4.4.3_kinect_trim,752.334
4.4.4_kinect_trim,412.438
4.4.5_kinect_trim,582.464
4.4.6_kinect_trim,650.816
4.4.7_kinect_trim,656.79
4.4.8_kinect_trim,632.982
4.4.9_kinect_trim,589.846
6.1.10_kinect_trim,977.792
6.1.1_kinect_trim,839.958
6.1.2_kinect_trim,762.4
6.1.3_kinect_trim,765.696
6.1.4_kinect_trim,851.798
6.1.5_kinect_trim,796.182
6.1.6_kinect_trim,774.976
6.1.7_kinect_trim,661.2
6.1.8_kinect_trim,1156.246
6.1.9_kinect_trim,666.432
6.2.10_kinect_trim,541.59
6.2.1_kinect_trim,488.939
6.2.2_kinect_trim,509.12
6.2.3_kinect_trim,479.574
6.2.4_kinect_trim,546.518
6.2.5_kinect_trim,409.878
6.2.6_kinect_trim,403.648
6.2.7_kinect_trim,508.843
6.2.8_kinect_trim,421.967
6.2.9_kinect_trim,505.238
6.3.10_kinect_trim,782.166
6.3.1_kinect_trim,440.256
6.3.2_kinect_trim,546.56
6.3.3_kinect_trim,734.294
6.3.4_kinect_trim,649.6
6.3.5_kinect_trim,515.67
6.3.6_kinect_trim,774.208
6.3.7_kinect_trim,752.832
6.3.8_kinect_trim,619.478
6.3.9_kinect_trim,679.488
